analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.012089,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.012672,4.253740624727e-12,cuda_edge,3,edge_based,0.0005626048488907,end2end,162,cuda_edge,37,0,0.000582,cuda_mixed_edge,True
0.011319,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.01189,4.056489742146e-12,cuda_edge,3,edge_based,0.0005626048489424,end2end,162,cuda_edge,37,1,0.00057,cuda_mixed_edge,True
0.011375,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011942,4.36935958624e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,2,0.000567,cuda_mixed_edge,True
0.011325,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011888,6.189402722999e-12,cuda_edge,3,edge_based,0.0005626048489258,end2end,162,cuda_edge,37,3,0.000563,cuda_mixed_edge,True
0.011412,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011977,4.229063784094e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,4,0.000565,cuda_mixed_edge,True
0.011617,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.012181,4.289364936771e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,5,0.000563,cuda_mixed_edge,True
0.011294,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011859,4.19861426815e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,6,0.000565,cuda_mixed_edge,True
0.011349,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011914,4.039954670296e-12,cuda_edge,3,edge_based,0.0005626048489332,end2end,162,cuda_edge,37,7,0.000564,cuda_mixed_edge,True
0.011274,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011838,4.409834175006e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,8,0.000564,cuda_mixed_edge,True
0.011317,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.01189,3.97628710586e-12,cuda_edge,3,edge_based,0.0005626048489332,end2end,162,cuda_edge,37,9,0.000573,cuda_mixed_edge,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013945121318101883,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,0,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013871962204575539,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,1,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013878561556339264,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,2,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013914994895458221,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,3,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013896103948354721,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,4,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.01399623230099678,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,5,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013960480690002441,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,6,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.01402183249592781,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,7,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.01394164189696312,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,8,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013920502737164497,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,9,,pypower,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004291,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,0,0.004286,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004362,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,1,0.004358,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.00433,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,2,0.004325,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004361,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,3,0.004357,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004372,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,4,0.004368,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004373,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,5,0.004369,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004387,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,6,0.004383,cpp_pypowerlike,True
