config	case	B	solve_total_us	fac_us	sol_us	ibus_us	jac_us	upload_us	download_us	iters
custom-mixed-fp32	case8387pegase	256	58735.4	15903.4	5631.86	3685.86	2125	6402.29	20710.4	4
custom-mixed-tf32	case8387pegase	1	2062.71	964.143	592.143	79.4286	41.8571	187.429	46.8571	4
custom-mixed-tf32	case8387pegase	16	5073.14	1934.86	1144.14	322	166.286	611	615.429	4
custom-mixed-tf32	case8387pegase	64	12710.1	4837.43	1968.57	1020.43	555.143	1816.86	1825.86	4
custom-mixed-tf32	case8387pegase	256	60315.7	16691.7	5627.29	3688.86	2124.57	6670.71	21170.3	4
cudss-fp64	case_ACTIVSg25k	1	10365.1	6733.57	2670.43	95.1429	145	417	88	5
cudss-fp64	case_ACTIVSg25k	16	82072.6	58775.6	17811.3	536.857	1490	1619.71	1179.71	5
cudss-fp64	case_ACTIVSg25k	64	312639	225769	66734	1952.71	5811.29	5356.29	4778.71	5
cudss-fp64	case_ACTIVSg25k	256	1.27894e+06	892010	262211	7581	23141.9	19788.6	59997.1	5
custom-fp64	case_ACTIVSg25k	1	10878.3	7082.14	2846.29	95.2857	146.714	385	88.2857	5
custom-fp64	case_ACTIVSg25k	16	29908.9	18352.3	5674.43	658.429	1534.43	1704.14	1217.29	5
custom-fp64	case_ACTIVSg25k	64	98494.1	62570.6	14540.9	1969.57	5853.43	5516	5799.14	5
custom-fp64	case_ACTIVSg25k	256	421038	241437	52590.4	7882.86	23479	19252.9	62378.1	5
cudss-mixed	case_ACTIVSg25k	1	6553.14	4000.43	1632.14	95.1429	64.2857	430.714	87.8571	5
cudss-mixed	case_ACTIVSg25k	16	50044.6	33493.1	11950.6	517	534.714	1613.86	1231	5
cudss-mixed	case_ACTIVSg25k	64	212373	141871	50428.7	2902.29	2198.29	5960.29	6081.43	5
cudss-mixed	case_ACTIVSg25k	256	928653	597621	209547	8898.71	11894.1	18373.3	65809.9	5
custom-mixed-fp32	case_ACTIVSg25k	1	5222.14	2873.29	1541	93.8571	66.1429	339.286	87.1429	5
custom-mixed-fp32	case_ACTIVSg25k	16	14875.9	7225.86	2943.71	511.571	539	1451.57	1505.14	5
custom-mixed-fp32	case_ACTIVSg25k	64	51990	25200.3	7392.57	2206	1993	6140.86	6511.86	5
custom-mixed-fp32	case_ACTIVSg25k	256	239285	99527.6	23002	7361.43	8337.29	22110.3	63456.3	5
custom-mixed-tf32	case_ACTIVSg25k	1	4685.71	2376.43	1507	92.8571	66	343.571	85.4286	5
custom-mixed-tf32	case_ACTIVSg25k	16	14556.7	6919	2949.29	510.714	573.857	1535	1366.86	5
custom-mixed-tf32	case_ACTIVSg25k	64	51009.7	23630.4	6940.86	3336.29	2493.43	6357.29	5957.71	5
custom-mixed-tf32	case_ACTIVSg25k	256	239498	98351.7	25252.1	8036.71	9051.71	19118.6	63893	6
cudss-fp64	case_SyntheticUSA	1	39369.4	27636.9	8893	229	537	1324.43	355	7
cudss-fp64	case_SyntheticUSA	16	400202	294401	79387.6	2155.14	7675.14	5148	8692.86	7
cudss-fp64	case_SyntheticUSA	64	1.56794e+06	1.14495e+06	305296	8289.86	28387.9	16111.7	49689.9	7
custom-fp64	case_SyntheticUSA	1	62917.6	50613.3	8701.71	614.571	538.143	1599.43	423.571	7
custom-fp64	case_SyntheticUSA	16	166886	123773	21648.4	2151.86	7257.43	4924.57	4420	7
custom-fp64	case_SyntheticUSA	64	571564	380363	70545.4	8157.29	28628.6	18271.4	50096.3	7
cudss-mixed	case_SyntheticUSA	1	26231.3	17424.6	6196.29	236.429	251.286	1283.43	369.429	7
cudss-mixed	case_SyntheticUSA	16	283648	196363	67473.1	2340.57	3211.29	5083.43	5864.43	8
cudss-mixed	case_SyntheticUSA	64	1.13367e+06	765805	262648	8947.14	12873.6	16391.4	50050.1	8
custom-mixed-fp32	case_SyntheticUSA	1	21138	14354.6	4647.43	248.286	264.429	946.143	211.429	7
custom-mixed-fp32	case_SyntheticUSA	16	79578.7	49591.7	12118.6	2342.86	3208.71	4813	4502	8
custom-mixed-fp32	case_SyntheticUSA	64	319376	181080	35512.6	8826.29	12537.6	16634.4	48980	8
custom-mixed-tf32	case_SyntheticUSA	1	18565.6	11795	4738.71	251	267.143	885.429	200	7
custom-mixed-tf32	case_SyntheticUSA	16	77474.4	47469.7	12120.4	2338.86	3194.43	4889.57	4457.14	8
custom-mixed-tf32	case_SyntheticUSA	64	314623	173259	36236.3	9385.86	13220.1	17448.9	49044.7	8
cudss-fp64	case_SyntheticUSA	256	6.21801e+06	4.55012e+06	1.2099e+06	32306.1	113494	61851.4	193404	7
custom-fp64	case_SyntheticUSA	256	2.17467e+06	1.42768e+06	270845	32467.6	113304	65834	206522	7
cudss-mixed	case_SyntheticUSA	256	4.48693e+06	3.03904e+06	1.04328e+06	35165.3	50258.6	60410.9	193015	8
custom-mixed-fp32	case_SyntheticUSA	256	1.24039e+06	709823	132433	34837.4	50253.4	61148	190261	8
custom-mixed-tf32	case_SyntheticUSA	256	1.2067e+06	674962	132430	34764.7	50839.6	61075.1	191043	8
cudss-fp64	case13659pegase	1	8649.86	5575.14	2262.43	125.714	132.143	250.714	59.5714	6
cudss-fp64	case13659pegase	16	55236.9	35495.1	14520.7	658.143	1130.43	1310.57	1570.43	6
cudss-fp64	case13659pegase	64	174354	118364	41763	2257.71	4341.57	3119	2917	6
cudss-fp64	case13659pegase	256	702168	462179	162275	8774.86	17129.4	10366.4	32729.6	6
custom-fp64	case13659pegase	1	7086.14	3692.86	2537.43	155.714	135.714	253.429	61.7143	6
