case_name,count_mean,metric,ms_mean,ms_stdev,profile,profile_elapsed_speedup_vs_cuda_edge,profile_solve_speedup_vs_cuda_edge,runs,sec_mean,sec_stdev,section,share_of_profile_elapsed,share_of_profile_solve,source_column,success_all
case_ACTIVSg200,3.0,mismatch,0.0786,0.0006992058987801022,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,7.86e-05,6.992058987801021e-07,nr,0.0533641116165388,0.0687784389219461,NR.iteration.mismatch.total_sec,True
case_ACTIVSg200,2.0,jacobian,0.026,0.0,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,2.6e-05,0.0,nr,0.0176522506619594,0.022751137556877844,NR.iteration.jacobian.total_sec,True
case_ACTIVSg200,2.0,linear_solve,0.9076,0.01533478254021085,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,0.0009075999999999999,1.533478254021085e-05,nr,0.6161993346459366,0.7941897094854742,NR.iteration.linear_solve.total_sec,True
case_ACTIVSg200,2.0,voltage_update,0.041699999999999994,0.0004830458915396466,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,4.17e-05,4.830458915396466e-07,nr,0.028311494330911804,0.03648932446622331,NR.iteration.voltage_update.total_sec,True
case_ACTIVSg200,1.0,download,0.018600000000000002,0.0005163977794943225,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,1.86e-05,5.163977794943225e-07,nr,0.012628148550478648,0.016275813790689535,NR.solve.download.total_sec,True
case_ACTIVSg200,,rhs_prepare,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,cudss,,,CUDA.solve.rhsPrepare.total_sec,True
case_ACTIVSg200,,factorization,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,cudss,,,CUDA.solve.factorization32.total_sec,True
case_ACTIVSg200,,refactorization,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,cudss,,,CUDA.solve.refactorization32.total_sec,True
case_ACTIVSg200,,solve,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,cudss,,,CUDA.solve.solve32.total_sec,True
case_ACTIVSg200,,cuda_to_cpu_voltage,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,ablation_bridge,,,ABLATION.cuda_to_cpu_voltage.total_sec,True
