case_name,ms_mean,ms_stdev,operator,operator_short,runs,scope,sec_mean,sec_stdev,share,success_all
case_ACTIVSg200,1.1239659041166306,0.016483467749243207,runpf.load_case_data,load_case_data,10,runpf,0.0011239659041166305,1.648346774924321e-05,0.12846731309731327,True
case_ACTIVSg200,0.6805634126067162,0.009202328440935503,runpf.bus_indexing,bus_indexing,10,runpf,0.0006805634126067162,9.202328440935503e-06,0.07778719326778674,True
case_ACTIVSg200,1.1286105960607529,0.01790372910761143,runpf.build_Ybus,build_Ybus,10,runpf,0.0011286105960607528,1.790372910761143e-05,0.1289981931640846,True
case_ACTIVSg200,0.11828839778900146,0.001127328078043389,runpf.build_Sbus,build_Sbus,10,runpf,0.00011828839778900146,1.127328078043389e-06,0.013520154462765915,True
case_ACTIVSg200,5.6976135820150375,0.09943180940562522,runpf.newtonpf,newtonpf,10,runpf,0.0056976135820150375,9.943180940562522e-05,0.6512271460080495,True
case_ACTIVSg200,0.011420994997024536,0.00017974112836527652,newtonpf.init_index,init_index,10,newtonpf,1.1420994997024537e-05,1.7974112836527654e-07,0.0020204876045939106,True
case_ACTIVSg200,0.11692885309457779,0.0015248923337825592,newtonpf.mismatch,mismatch,10,newtonpf,0.00011692885309457778,1.5248923337825592e-06,0.020685877049987922,True
case_ACTIVSg200,4.232143238186836,0.04447752217813579,newtonpf.jacobian,jacobian,10,newtonpf,0.004232143238186836,4.447752217813579e-05,0.7487082303993822,True
case_ACTIVSg200,1.2383894994854927,0.07355045243253096,newtonpf.solve,solve,10,newtonpf,0.0012383894994854928,7.355045243253096e-05,0.21908341909103102,True
case_ACTIVSg200,0.05371086299419403,0.0013345138078418855,newtonpf.update_voltage,update_voltage,10,newtonpf,5.371086299419403e-05,1.3345138078418854e-06,0.00950198585500507,True
case_ACTIVSg500,2.3726431652903557,0.012608994745668126,runpf.load_case_data,load_case_data,10,runpf,0.002372643165290356,1.2608994745668126e-05,0.1447532424028057,True
case_ACTIVSg500,1.0302038863301277,0.06101852806967984,runpf.bus_indexing,bus_indexing,10,runpf,0.0010302038863301277,6.101852806967984e-05,0.06285199353355271,True
case_ACTIVSg500,1.3722963631153107,0.010985402242161742,runpf.build_Ybus,build_Ybus,10,runpf,0.0013722963631153107,1.0985402242161743e-05,0.08372280796560903,True
case_ACTIVSg500,0.12203995138406754,0.004227438396277087,runpf.build_Sbus,build_Sbus,10,runpf,0.00012203995138406753,4.227438396277087e-06,0.007445569112101476,True
case_ACTIVSg500,11.49376668035984,0.07027415356880823,runpf.newtonpf,newtonpf,10,runpf,0.01149376668035984,7.027415356880824e-05,0.701226386985931,True
case_ACTIVSg500,0.011572800576686859,0.00014443062000927442,newtonpf.init_index,init_index,10,newtonpf,1.157280057668686e-05,1.444306200092744e-07,0.0010124096977022305,True
case_ACTIVSg500,0.1744776964187622,0.003177012490091446,newtonpf.mismatch,mismatch,10,newtonpf,0.0001744776964187622,3.177012490091446e-06,0.015263627046589196,True
case_ACTIVSg500,7.335363514721394,0.04797399361900248,newtonpf.jacobian,jacobian,10,newtonpf,0.007335363514721393,4.797399361900248e-05,0.6417109764628066,True
case_ACTIVSg500,3.7943053990602493,0.03578210486432466,newtonpf.solve,solve,10,newtonpf,0.0037943053990602492,3.5782104864324666e-05,0.331932755308246,True
case_ACTIVSg500,0.11522658169269562,0.0008306073826164034,newtonpf.update_voltage,update_voltage,10,newtonpf,0.00011522658169269562,8.306073826164034e-07,0.010080231484655944,True
MemphisCase2026_Mar7,4.4798243790864944,0.02137160581393713,runpf.load_case_data,load_case_data,10,runpf,0.004479824379086494,2.137160581393713e-05,0.22196103653901467,True
MemphisCase2026_Mar7,1.5709497034549713,0.01068822495710945,runpf.bus_indexing,bus_indexing,10,runpf,0.0015709497034549712,1.068822495710945e-05,0.07783555671453049,True
MemphisCase2026_Mar7,1.8639646470546722,0.010080652840226714,runpf.build_Ybus,build_Ybus,10,runpf,0.0018639646470546723,1.0080652840226714e-05,0.09235351436180611,True
MemphisCase2026_Mar7,0.13313964009284973,0.0018763139567574726,runpf.build_Sbus,build_Sbus,10,runpf,0.00013313964009284974,1.8763139567574727e-06,0.006596645318820814,True
MemphisCase2026_Mar7,12.135053053498268,0.029174852266847368,runpf.newtonpf,newtonpf,10,runpf,0.012135053053498268,2.917485226684737e-05,0.6012532470658278,True
MemphisCase2026_Mar7,0.011921115219593048,0.00018669955540561912,newtonpf.init_index,init_index,10,newtonpf,1.1921115219593049e-05,1.8669955540561912e-07,0.0009873500071003241,True
MemphisCase2026_Mar7,0.15004891902208328,0.0021356615338640242,newtonpf.mismatch,mismatch,10,newtonpf,0.00015004891902208327,2.1356615338640243e-06,0.01242759578553149,True
MemphisCase2026_Mar7,6.11193310469389,0.033617864908865494,newtonpf.jacobian,jacobian,10,newtonpf,0.00611193310469389,3.3617864908865496e-05,0.5062124711619239,True
MemphisCase2026_Mar7,5.676410347223282,0.019140632913200194,newtonpf.solve,solve,10,newtonpf,0.005676410347223282,1.9140632913200195e-05,0.4701408965013414,True
MemphisCase2026_Mar7,0.12353584170341492,0.0010112521444792385,newtonpf.update_voltage,update_voltage,10,newtonpf,0.00012353584170341492,1.0112521444792385e-06,0.010231686544102963,True
case_ACTIVSg2000,8.797806315124035,0.04553074051452014,runpf.load_case_data,load_case_data,10,runpf,0.008797806315124035,4.553074051452014e-05,0.17871184312967697,True
case_ACTIVSg2000,2.765127643942833,0.012518721116713464,runpf.bus_indexing,bus_indexing,10,runpf,0.002765127643942833,1.2518721116713464e-05,0.05616866751071207,True
case_ACTIVSg2000,3.0517587438225746,0.02031936788898059,runpf.build_Ybus,build_Ybus,10,runpf,0.0030517587438225746,2.0319367888980587e-05,0.06199107031466297,True
case_ACTIVSg2000,0.15768371522426605,0.0014697480201854676,runpf.build_Sbus,build_Sbus,10,runpf,0.00015768371522426606,1.4697480201854676e-06,0.0032030652153390124,True
case_ACTIVSg2000,34.45662911981344,0.18059072527036876,runpf.newtonpf,newtonpf,10,runpf,0.03445662911981344,0.00018059072527036875,0.699925353829609,True
case_ACTIVSg2000,0.012597814202308655,0.00030089544839962643,newtonpf.init_index,init_index,10,newtonpf,1.2597814202308654e-05,3.0089544839962644e-07,0.0003665847600806161,True
case_ACTIVSg2000,0.2671608701348305,0.001413737565609386,newtonpf.mismatch,mismatch,10,newtonpf,0.00026716087013483046,1.413737565609386e-06,0.007774134616412876,True
case_ACTIVSg2000,13.017763942480087,0.11503384739860185,newtonpf.jacobian,jacobian,10,newtonpf,0.013017763942480087,0.00011503384739860186,0.378804909725183,True
case_ACTIVSg2000,20.755580812692642,0.11379850328664397,newtonpf.solve,solve,10,newtonpf,0.02075558081269264,0.00011379850328664397,0.6039682353118383,True
