analyze_jacobian_builder_ms_mean,case_name,edge_vs_vertex_jacobian_speedup,elapsed_ms_mean,jacobian_count_mean,jacobian_update_ms_mean,jacobian_update_ms_stdev,jacobian_update_per_call_ms,profile,profile_jacobian_speedup_vs_vertex,runs,solve_ms_mean,success_all
0.0655,case_ACTIVSg200,0.8812260536398469,11.836599999999999,2.0,0.026099999999999998,0.0005676462121975463,0.013049999999999999,cuda_edge,0.8812260536398469,10,0.6345,True
0.0658,case_ACTIVSg200,0.8812260536398469,11.7153,2.0,0.023,0.0008164965809277265,0.0115,cuda_vertex,1.0,10,0.5762,True
0.1804,case_ACTIVSg500,1.081081081081081,13.1776,3.0,0.0333,0.0004830458915396466,0.0111,cuda_edge,1.081081081081081,10,0.9948999999999999,True
0.1916,case_ACTIVSg500,1.081081081081081,525.3045,3.0,0.036000000000000004,0.0038873012632302,0.012,cuda_vertex,1.0,10,254.49159999999998,True
0.44289999999999996,MemphisCase2026_Mar7,1.2112068965517242,38.3985,2.0,0.0232,0.003794733192202055,0.0116,cuda_edge,1.2112068965517242,10,1.0360999999999998,True
0.48979999999999996,MemphisCase2026_Mar7,1.2112068965517242,33.0286,2.0,0.0281,0.004201851443775178,0.01405,cuda_vertex,1.0,10,1.2390999999999999,True
0.7936,case_ACTIVSg2000,1.1863905325443787,18.7378,3.0,0.033800000000000004,0.0007888106377466133,0.011266666666666666,cuda_edge,1.1863905325443787,10,2.1268,True
0.8312,case_ACTIVSg2000,1.1863905325443787,18.8852,3.0,0.0401,0.0011005049346146118,0.013366666666666667,cuda_vertex,1.0,10,2.112,True
2.5046999999999997,Base_Florida_42GW,1.4137323943661972,36.327200000000005,4.0,0.056799999999999996,0.0009189365834726815,0.014199999999999999,cuda_edge,1.4137323943661972,10,3.6706999999999996,True
2.4694000000000003,Base_Florida_42GW,1.4137323943661972,33.5062,4.0,0.0803,0.0010593499054713828,0.020075,cuda_vertex,1.0,10,3.6639,True
2.8878,Texas7k_20220923,1.5081967213114753,33.3058,3.0,0.0427,0.0012516655570345735,0.014233333333333334,cuda_edge,1.5081967213114753,10,3.1992000000000003,True
2.6922,Texas7k_20220923,1.5081967213114753,29.1393,3.0,0.0644,0.000699205898780099,0.021466666666666665,cuda_vertex,1.0,10,3.2199,True
3.0419,Base_Texas_66GW,1.8153310104529616,32.179,4.0,0.0574,0.0006992058987801006,0.01435,cuda_edge,1.8153310104529616,10,4.506600000000001,True
3.6988,Base_Texas_66GW,1.8153310104529616,38.2151,4.0,0.1042,0.0026161889160464793,0.02605,cuda_vertex,1.0,10,6.2802,True
4.2898,Base_MIOHIN_76GW,1.3616236162361626,43.056999999999995,4.0,0.0813,0.0018287822299126923,0.020325,cuda_edge,1.3616236162361626,10,6.517,True
4.3271999999999995,Base_MIOHIN_76GW,1.3616236162361626,41.381099999999996,4.0,0.1107,0.0009486832980505111,0.027675,cuda_vertex,1.0,10,5.5056,True
8.7179,Base_West_Interconnect_121GW,1.7523629489603025,67.2363,4.6,0.10579999999999999,0.011745448290957463,0.023,cuda_edge,1.7523629489603025,10,9.069,True
8.4852,Base_West_Interconnect_121GW,1.7523629489603025,65.1029,4.2,0.1854,0.018282961102257668,0.04414285714285714,cuda_vertex,1.0,10,8.4464,True
11.1707,case_ACTIVSg25k,1.9342359767891684,83.7934,4.0,0.1034,0.007589466384404108,0.02585,cuda_edge,1.9342359767891684,10,12.2922,True
9.3466,case_ACTIVSg25k,1.9342359767891684,78.7241,4.0,0.2,0.0006666666666666648,0.05,cuda_vertex,1.0,10,8.7886,True
32.2512,case_ACTIVSg70k,2.0531159610833556,215.2494,6.0,0.38029999999999997,0.0024517567397910928,0.06338333333333333,cuda_edge,2.0531159610833556,10,30.6171,True
33.0976,case_ACTIVSg70k,2.0531159610833556,205.5693,6.0,0.7808,0.007495183638696114,0.13013333333333335,cuda_vertex,1.0,10,35.4127,True
41.767399999999995,Base_Eastern_Interconnect_515GW,1.7384615384615385,233.00560000000002,5.8,0.4615,0.03366914182320529,0.07956896551724138,cuda_edge,1.7384615384615385,10,35.4344,True
43.5257,Base_Eastern_Interconnect_515GW,1.7384615384615385,254.92720000000003,5.3,0.8023,0.07165201400596574,0.15137735849056605,cuda_vertex,1.0,10,48.581399999999995,True
