case_name,buses,pypower_ms,cupf_total_ms,cupf_analyze_ms,cupf_analyze_pct,cupf_elapsed_minus_analyze_ms,speedup_total_vs_pypower,speedup_elapsed_minus_analyze_vs_pypower,cuda_source,runs,success_all
case_ACTIVSg200,200,7.836805470287801,12.005099999999999,11.437100000000001,95.26867747873821,0.5679999999999978,0.652789686907048,13.797192729379983,end2end_main_chain,10,True
case_ACTIVSg500,500,13.934743404388428,14.9718,13.9167,92.95275117220375,1.0550999999999995,0.9307326710474644,13.20703573536957,end2end_main_chain,10,True
MemphisCase2026_Mar7,993,15.83328116685152,15.391,14.3887,93.48775258267818,1.0023,1.0287363502599909,15.796948186023666,end2end_main_chain,10,True
case_ACTIVSg2000,2000,39.35862388461828,26.6479,24.4216,91.64549551747042,2.2262999999999984,1.4769878258556315,17.678939893373897,end2end_main_chain,10,True
Base_Florida_42GW,5658,130.21073937416077,38.6769,35.092999999999996,90.73374546563969,3.583900000000007,3.3666281261983446,36.33213520861646,end2end_main_chain,10,True
Texas7k_20220923,6717,118.11983436346054,62.8789,58.440900000000006,92.94198848898438,4.437999999999995,1.8785289558732825,26.61555528694472,end2end_main_chain,10,True
Base_Texas_66GW,7336,171.96327317506075,38.7655,32.5311,83.91765874295443,6.234400000000001,4.435987493391307,27.58297080313434,end2end_main_chain,10,True
Base_MIOHIN_76GW,10189,276.3898150995374,53.97429999999999,48.5043,89.86554712150043,5.469999999999992,5.120767015033774,50.528302577612024,end2end_main_chain,10,True
Base_West_Interconnect_121GW,20758,491.6097605600953,98.8465,82.8793,83.8464690201474,15.967200000000005,4.973466542164824,30.78872692520261,end2end_main_chain,10,True
case_ACTIVSg25k,25000,484.9549476057291,71.4335,62.9623,88.14113826145996,8.471199999999996,6.788900832322778,57.247491217977306,end2end_cuda_edge_25k_plus_warmup3,10,True
case_ACTIVSg70k,70000,2348.869435675442,210.1429,180.1486,85.72671263221359,29.99430000000001,11.177486537377385,78.31052685595068,end2end_cuda_edge_25k_plus_warmup3,10,True
Base_Eastern_Interconnect_515GW,78478,2652.1317129954696,223.5687,191.9174,85.84269622715523,31.65130000000002,11.862714740459955,83.79218904106523,end2end_cuda_edge_25k_plus_warmup3,10,True
