case,solver,converged,outer_iterations,final_mismatch,linear_tol,inner_max_iter,gmres_restart,fd_eps,preconditioner,total_jv_calls,total_inner_iterations,max_inner_iterations,linear_failures,failure_reason,total_sec,mismatch_sec,linear_solve_sec,preconditioner_setup_sec,voltage_update_sec,jv_sec,jv_mismatch_sec,jv_update_sec
case30_ieee,bicgstab,true,5,8.64586180426840656e-14,1.00000000000000002e-02,2000,30,auto,ilut_fd,216,4,1,0,none,8.85171000000000026e-04,3.35000000000000011e-06,6.01100999999999936e-04,5.64571000000000040e-04,4.87999999999999986e-06,3.42660999999999693e-04,7.39299999999999918e-05,2.33511000000000726e-04
case118_ieee,bicgstab,true,5,1.29472445611963212e-11,1.00000000000000002e-02,2000,30,auto,ilut_fd,731,4,1,0,none,5.64038799999999965e-03,7.45999999999999973e-06,4.95743700000000030e-03,4.84717599999999992e-03,1.80899999999999979e-05,4.14514700000000440e-03,8.13360000000001469e-04,3.03643700000001118e-03
case793_goc,bicgstab,true,6,3.68134855932567007e-10,1.00000000000000002e-02,2000,30,auto,ilut_fd,7492,7,2,0,none,3.74130815000000005e-01,4.81200000000000001e-05,3.70256589999999997e-01,3.69105676999999965e-01,1.46550000000000011e-04,3.56801835000001122e-01,4.94171929999995194e-02,2.65791766000001206e-01
case1354_pegase,bicgstab,true,6,1.54356805115440920e-10,1.00000000000000002e-02,2000,30,auto,ilut_fd,12245,5,1,0,none,8.43035340000000022e-01,3.45050000000000012e-04,8.36248211000000019e-01,8.34212716999999992e-01,3.75700999999999986e-04,8.02208132999993384e-01,1.39742647999995501e-01,6.08154949999995531e-01
case2746wop_k,bicgstab,true,6,1.17369805715449997e-09,1.00000000000000002e-02,2000,30,auto,ilut_fd,25724,10,2,0,none,3.47513775899999988e+00,1.73509999999999984e-04,3.46168223100000017e+00,3.45615265200000010e+00,4.96979999999999948e-04,3.36073844999998883e+00,5.94837676999986908e-01,2.52828127300001837e+00
case4601_goc,bicgstab,true,7,3.38930924992375537e-10,1.00000000000000002e-02,2000,30,auto,ilut_fd,54433,14,3,0,none,1.24615735549999993e+01,5.61340000000000016e-04,1.24383651529999995e+01,1.24244445929999987e+01,1.02446200000000007e-03,1.20724426969999925e+01,2.25842479700007237e+00,8.91009700400007532e+00
case8387_pegase,bicgstab,true,8,6.95907775849491372e-11,1.00000000000000002e-02,2000,30,auto,ilut_fd,104389,19,4,0,none,5.04109876679999971e+01,2.07959199999999990e-03,5.03640554550000061e+01,5.03293882669999988e+01,2.45663299999999973e-03,4.93477912699989076e+01,1.17068019190002257e+01,3.46259139120000725e+01
case9241_pegase,bicgstab,true,9,1.22410678815576546e-10,1.00000000000000002e-02,2000,30,auto,ilut_fd,136331,24,3,0,none,8.31335991520000022e+01,2.17019099999999970e-03,8.30811473050000018e+01,8.30282956150000047e+01,3.77279499999999979e-03,8.15991244640014486e+01,1.77261233100000517e+01,5.94669754720001364e+01
