case,solver,converged,outer_iterations,final_mismatch,linear_tol,inner_max_iter,gmres_restart,fd_eps,preconditioner,total_jv_calls,total_inner_iterations,max_inner_iterations,linear_failures,failure_reason,total_sec,mismatch_sec,linear_solve_sec,preconditioner_setup_sec,voltage_update_sec,jv_sec,jv_mismatch_sec,jv_update_sec
case30_ieee,fgmres,true,6,2.21514455225490610e-10,1.00000000000000002e-02,2000,30,auto,ilu0_fd,305,40,8,0,none,1.24143100000000009e-03,4.12999999999999942e-06,9.31301000000000047e-04,6.60870000000000034e-04,6.99999999999999905e-06,4.91770000000002158e-04,1.04429999999999906e-04,3.36659999999999477e-04
case118_ieee,fgmres,true,6,5.16525748215298978e-09,1.00000000000000002e-02,2000,30,auto,ilu0_fd,984,79,18,0,none,8.17798200000000031e-03,7.86999999999999885e-05,7.40444099999999945e-03,6.13561000000000054e-03,2.26400000000000001e-05,5.90662899999999658e-03,1.12746399999999361e-03,4.22734500000002469e-03
case793_goc,fgmres,true,7,3.67128421764379499e-10,1.00000000000000002e-02,2000,30,auto,ilu0_fd,9793,794,181,0,none,4.85362838000000019e-01,6.03500000000000033e-05,4.81374172999999961e-01,4.05824069000000009e-01,1.77290000000000005e-04,4.24457020000002849e-01,8.72828509999979407e-02,2.95115773000002968e-01
case1354_pegase,fgmres,true,7,5.10318032276302347e-09,1.00000000000000002e-02,2000,30,auto,ilu0_fd,15840,1125,267,0,none,1.21015938599999995e+00,1.49150000000000020e-04,1.20367722700000024e+00,9.96508231999999938e-01,3.19310000000000004e-04,1.04917582700001222e+00,1.83852723000000690e-01,7.96115841999982421e-01
case2746wop_k,fgmres,true,7,9.23654902562631719e-11,1.00000000000000002e-02,2000,30,auto,ilu0_fd,31577,711,151,0,none,4.47602204100000023e+00,2.93161000000000008e-04,4.46318731399999979e+00,4.15841028499999954e+00,6.12239999999999898e-04,4.15372542299996894e+00,7.36888830000027806e-01,3.12620158099991796e+00
case4601_goc,fgmres,true,8,9.92884191907434486e-10,1.00000000000000002e-02,2000,30,auto,ilu0_fd,64792,1277,314,0,none,1.55541091510000005e+01,8.88881999999999910e-04,1.55311223500000004e+01,1.45230364429999987e+01,1.22336100000000007e-03,1.44771550290000555e+01,2.69736664699999240e+00,1.07050599590000814e+01
case8387_pegase,fgmres,false,5,2.46919406830747867e-03,1.00000000000000002e-02,2000,30,auto,ilu0_fd,79150,4463,2000,1,linear_max_inner_iterations,4.12197033120000000e+01,1.44220100000000016e-03,4.11764113429999981e+01,3.45981904570000012e+01,1.34363300000000011e-03,3.61804936919999065e+01,8.83719800499997099e+00,2.50345350609998931e+01
case9241_pegase,fgmres,false,1,2.85812133476038071e+01,1.00000000000000002e-02,2000,30,auto,ilu0_fd,19103,2000,2000,1,linear_max_inner_iterations,9.79404555400000021e+00,1.36560000000000007e-04,9.74932196399999995e+00,6.72683919199999991e+00,0.00000000000000000e+00,7.36744652899995423e+00,2.31035586000000093e+00,4.42148435299998344e+00
